GeneA,GeneB
FLI1,TGFBR2
FLI1,TGFBR2
FOS,ACTA1
FOS,BATF3
FOS,BCL2L1
FOS,CASP9
FOS,CCK
FOS,CCK
FOS,CCND1
FOS,CD40LG
FOS,CLU
FOS,CREM
FOS,CRP
FOS,CSTA
FOS,CXCL8
FOS,CYP1A2
FOS,DDIT3
FOS,ERCC4
FOS,EZR
FOS,FAS
FOS,FGFBP1
FOS,VEGFD
FOS,FMO4
FOS,FOS
FOS,FOXA1
FOS,GSTP1
FOS,HSPH1
FOS,IL1A
FOS,LRIG2
FOS,MELTF
FOS,MMP1
FOS,MMP1
FOS,MMP3
FOS,MMP7
FOS,MMP9
FOS,MMP9
FOS,MMP9
FOS,MYC
FOS,NEFL
FOS,NFKB1
FOS,NGF
FOS,NOS2
FOS,NOS2
FOS,NPPA
FOS,NPY
FOS,NQO1
FOS,NTF3
FOS,NTS
FOS,OXTR
FOS,PCK2
FOS,PDHA1
FOS,PGR
FOS,PLAU
FOS,PLAUR
FOS,PTGS2
FOS,PTGS2
FOS,SLC10A2
FOS,SMAD4
FOS,SMAD7
FOS,SOX7
FOS,SPI1
FOS,SPRR3
FOS,SRR
FOS,STAR
FOS,TP53
FOSL2,BCL6
FOSL2,BRCA1
FOSL2,CCR4
FOSL2,CLU
FOSL2,FOSL1
FOSL2,IBSP
FOSL2,IL5
FOSL2,IVL
FOSL2,MDM2
FOSL2,MYB
FOSL2,NOS2
FOSL2,PLAUR
FOSL2,TGFB1
FOSL2,TIMP1
FOSL2,UGT2B15
FOXC1,FGF19
FOXC1,FOXO1
FOXC2,ANGPT2
FOXF1,CDH1
FOXF1,GH2
FOXH1,AR
FOXH1,CTCF
FOXI1,CFTR
FOXI1,SLC26A4
FOXK2,IL2
FOXK2,SIN3A
FOXM1,APOE
FOXM1,AR
FOXM1,BRIP1
FOXM1,BTG2
FOXM1,CCNB1
FOXM1,CDC25A
FOXM1,CDC25B
FOXM1,CDC6
FOXM1,CDH1
FOXM1,CDKN2A
FOXM1,CYP3A4
FOXM1,FGB
FOXM1,KRT15
FOXM1,MYC
FOXM1,SFTPB
FOXM1,VEGFA
FOXM1,VEGFB
FOXN4,PANK2
FOXO4,BCL6
FOXO4,CREB1
FOXO4,HIF1A
FOXO4,PSMD11
FOXO4,SOD2
FOXO4,TNFSF10
FOXQ1,BCL11A
FOXQ1,CDH1
FOXQ1,RSPO2
FOXQ1,TWIST1
FOXQ1,VEGFA
FOXQ1,WNT3A
FUBP1,CDKN1A
FUBP1,MYC
FUBP3,FGF9
FUS,AR
FUS,DDIT3
FUS,KLK3
FUS,MDM2
GABPA,ERBB2
GABPA,OXTR
GABPA,RPS3A
GABPA,TOMM70
GABPA,ZNF205
GABPB1,OXTR
GABPB2,RPS3A
GATA2,ADH1A
GATA2,ANGPT2
GATA2,AR
GATA2,CYBB
GATA2,DPYSL2
GATA2,EPO
GATA2,ERVW-1
GATA2,FCER1A
GATA2,GATA1
GATA2,GATA1
GATA2,IL1RL1
GATA2,MS4A2
GATA2,NOS3
GATA2,PECAM1
GATA2,PPARG
GATA2,PRG2
GATA2,SPI1
GATA2,TSHB
GATA2,WT1
GATA3,ALDH1A2
GATA3,CD40LG
GATA3,CD8A
GATA3,CD8B
GATA3,CDH1
GATA3,CDH3
GATA3,CDX2
GATA3,CHST4
GATA3,CXCL1
GATA3,EPO
GATA3,EPOR
GATA3,ERG
GATA3,ERVW-1
GATA3,ESR1
GATA3,FOXC1
GATA3,FOXC2
GATA3,FUT7
GATA3,GATA3
GATA3,HSD17B1
GATA3,IFNG
GATA3,IL10
GATA3,IL12RB2
GATA3,IL4
GATA3,IL5
GATA3,IL5
GATA3,KLK1
GATA3,LOX
GATA3,MMP1
GATA3,MUC1
GATA3,NFKB1
GATA3,PAEP
GATA3,RELA
GATA3,SLCO4C1
GATA3,STAT4
GATA3,TCF7L2
GATA3,TEK
GATA3,TGFBR3
GATA3,ZEB1
GATA5,SLC5A1
GLI3,HLA-G
GLI3,SMO
GLI3,VMP1
GLIS3,INS
GRHL1,CYP11A1
GTF2A1,TBP
GTF2I,HSPA5
GTF2I,SIRT1
GTF3A,ADM
GTF3A,BAG3
GTF3A,FUS
GTF3A,RAD51B
GTF3A,STAT1
GZF1,HOXA10
HAND2,DBH
HAND2,GATA4
HAND2,NPPA
HAND2,PHOX2A
HAX1,ATP2A2
