GeneA,GeneB
FOXO1,CDKN1B
FOXO1,CXCR4
FOXO1,EDN1
FOXO1,EGR1
FOXO1,FABP4
FOXO1,FSHB
FOXO1,HYOU1
FOXO1,IGFBP1
FOXO1,IGFBP1
FOXO1,IGFBP1
FOXO1,IL6
FOXO1,IRS2
FOXO1,KLF2
FOXO1,LHB
FOXO1,NEUROG3
FOXO1,NKX6-1
FOXO1,NLK
FOXO1,PDGFA
FOXO1,PDGFB
FOXO1,PRL
FOXO1,RAG1
FOXO1,TNFSF10
FOXO1,TXNIP
FOXO3,AR
FOXO3,AR
FOXO3,BBC3
FOXO3,BCL2L11
FOXO3,BCL6
FOXO3,BIRC5
FOXO3,CCND2
FOXO3,CDKN2B
FOXO3,FASLG
FOXO3,FOXM1
FOXO3,GALT
FOXO3,MYOCD
FOXO3,PIK3CA
FOXO3,SIRT1
FOXO3,SIRT6
FOXO3,TNFSF10
FOXO3,TXNIP
FOXO3,VEGFA
FOXO3,VEGFB
FOXO4,BCL6
FOXO4,CREB1
FOXO4,HIF1A
FOXO4,PSMD11
FOXO4,SOD2
FOXO4,TNFSF10
FOXP1,HIP1R
FOXP1,KLK3
FOXP1,RAG1
FOXP3,BRCA1
FOXP3,CCR4
FOXP3,CDKN1A
FOXP3,ERBB2
FOXP3,IL10
FOXP3,IL2
FOXP3,IL2RA
FOXP3,SATB1
FOXP3,TLR10
FOXP3,USP21
FOXP3,ZNF205
FOXQ1,BCL11A
FOXQ1,CDH1
FOXQ1,RSPO2
FOXQ1,TWIST1
FOXQ1,VEGFA
FOXQ1,WNT3A
FUS,AR
FUS,DDIT3
FUS,KLK3
FUS,MDM2
GABPB1,OXTR
GATA2,ADH1A
GATA2,ANGPT2
GATA2,AR
GATA2,CYBB
GATA2,DPYSL2
GATA2,EPO
GATA2,ERVW-1
GATA2,FCER1A
GATA2,GATA1
GATA2,GATA1
GATA2,IL1RL1
GATA2,MS4A2
GATA2,NOS3
GATA2,PECAM1
GATA2,PPARG
GATA2,PRG2
GATA2,SPI1
GATA2,TSHB
GATA2,WT1
GATA3,ALDH1A2
GATA3,CD40LG
GATA3,CD8A
GATA3,CD8B
GATA3,CDH1
GATA3,CDH3
GATA3,CDX2
GATA3,CHST4
GATA3,CXCL1
GATA3,EPO
GATA3,EPOR
GATA3,ERG
GATA3,ERVW-1
GATA3,ESR1
GATA3,FOXC1
GATA3,FOXC2
GATA3,FUT7
GATA3,GATA3
GATA3,HSD17B1
GATA3,IFNG
GATA3,IL10
GATA3,IL12RB2
GATA3,IL4
GATA3,IL5
GATA3,IL5
GATA3,KLK1
GATA3,LOX
GATA3,MMP1
GATA3,MUC1
GATA3,NFKB1
GATA3,PAEP
GATA3,RELA
GATA3,SLCO4C1
GATA3,STAT4
GATA3,TCF7L2
GATA3,TEK
GATA3,TGFBR3
GATA3,ZEB1
GATA6,APOA1
GATA6,CAV1
GATA6,CYP11A1
GATA6,CYP17A1
GATA6,CYP17A1
GATA6,DAB2
GATA6,DKK1
GATA6,PLAU
GATA6,SULT2A1
GATA6,VWF
GBX2,IL6
GCM1,ERVFRD-1
GCM1,ERVW-1
GCM1,MFSD2A
GCM1,PGF
GFI1,BAX
GFI1,CDKN1A
GFI1,CYP27B1
GFI1,ELANE
GFI1,NF1
GFI1B,MEF2C
GTF2F1,BGLAP
GTF2I,HSPA5
GTF2I,SIRT1
GTF3A,ADM
GTF3A,BAG3
GTF3A,FUS
GTF3A,RAD51B
GTF3A,STAT1
GZF1,HOXA10
HAX1,ATP2A2
HBP1,CDKN1A
HBP1,DNMT1
HBP1,MIF
HBP1,NCF1
HDAC10,TXNIP
HDAC11,IL10
HDAC11,IL17A
HDAC11,MYC
HDAC11,TNF
HDAC11,TNFSF4
HDAC3,ALOX5
HDAC3,APOC3
HDAC3,CDH1
HDAC3,CDKN2A
HDAC3,CXCR4
HDAC3,EGFR
HDAC3,GAS2
HDAC3,GATA2
HDAC3,GCM1
HDAC3,GRHL1
HDAC3,GTF2I
HDAC3,IFNA1
HDAC3,JUN
HDAC3,LGALS9
HDAC3,LSS
HDAC3,MBD1
HDAC3,MMP2
HDAC3,MYC
HDAC3,PCK2
HDAC3,PRAM1
HDAC3,TLR9
HDAC3,TNF
HDAC3,ULBP1
HDAC3,VEGFA
HDAC4,ATF4
HDAC4,CA9
HDAC4,CDKN1A
HDAC4,CDKN2A
HDAC4,HDAC3
HDAC4,HOXB13
HDAC4,IL10
HDAC4,IL5
HDAC4,JUN
HDAC4,JUN
HDAC4,KLF4
HDAC4,MEF2A
HDAC4,MEF2A
