Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
RP11-345P4.11,NA,0,0.23146529562982,0.161953727506427,0.23463772255546,0.196272493573265
FNDC10,NA,0.479423971512043,0.352425614083483,0.354390430454027,0.35766679623337,0.447230825172721
RP11-345P4.9,NA,0.578137490007994,0.313063834646568,0.293565147881695,0.318777944677225,0.381380609797876
MIB2,NA,0.481872734091762,0.288961120140018,0.343207673686484,0.37258731415501,0.323998833187482
MMP23B,NA,0.330808980755524,0.328667141838917,0.273889284865764,0.228624376336422,0.271115466856736
CDK11B,NA,0.66541434555426,0.313451656086712,0.402536669977401,0.388089994386147,0.554886211512718
RP11-345P4.10,NA,0.25,0.128742921857305,0.0717346168365421,0.0648140081888666,0.191109852774632
SLC35E2B,NA,0.473646166405878,0.182440982379754,0.284994650223577,0.323919209574696,0.386123205660249
RP11-345P4.6,NA,0.298865632536398,0.175823979515884,0.254995139164868,0.352199362848721,0.480059249114241
MMP23A,NA,0.580310186580913,0.24682946437544,0.402358513236598,0.324162470177946,0.654255853683047
CDK11A,NA,0.448408511386617,0.298355754857997,0.398904346296912,0.41801107887101,0.510397432515607
RP1-283E3.4,NA,0.381192537713113,0.205748460233866,0.366625093807545,0.299183254485406,0.436782806192786
SLC35E2,NA,0.425795419214426,0.183616955124883,0.358540420949231,0.312116074204581,0.383355788164577
NADK,NA,0.537558546273789,0.220193276812711,0.294525456190503,0.387553529650524,0.420169561866366
GNB1,NA,0.560111148916865,0.331688783032778,0.319555601579952,0.364433291747004,0.438386072360213
RP1-140A9.1,NA,0.471971925953169,0.389898246904499,0.292144637676083,0.328688379442333,0.404054799558661
CALML6,NA,0.444343419036554,0.376450977420821,0.336131297890985,0.320085909013524,0.573836944991665
TMEM52,NA,0.599197592778335,0.440874623871615,0.291190092015176,0.346524187948461,0.379779338014042
CFAP74,NA,0.251497005988024,0.244311377245509,0.326264138389887,0.265989759611212,0.251996007984032
RP11-547D24.1,NA,0.187816455696203,0.202658227848101,0.301375894331315,0.254571026722925,0.378481012658228
GABRD,NA,0.378400259067358,0.396437823834197,0.391427225624117,0.309510761259466,0.449724740932642
RP11-547D24.3,NA,0.327063961679346,0.323865877712032,0.181805374113066,0.19746624184494,0.188503803888419
PRKCZ,NA,0.500977756049866,0.302737716939624,0.314422964513832,0.352147302709512,0.4335431434857
RP5-892K4.1,NA,0.547019867549669,0.386092715231788,0.338824503311258,0.35333672949567,0.533995584988962
PRKCZ-AS1,NA,0.548792694884785,0.36574603693414,0.400845045486735,0.390725608759601,0.545064553031541
FAAP20,NA,0.561332233013818,0.39261093125119,0.352446575832598,0.397871304936626,0.585602742334793
RP11-181G12.4,NA,0.613970130678283,0.292482887367766,0.390802145375885,0.349023946161469,0.314903546981954
SKI,NA,0.354363360361361,0.164136398978118,0.29178699692695,0.291381983783183,0.30234366322337
MORN1,NA,0.435281798122592,0.365982273084259,0.363867628622579,0.409670619406399,0.580177830135757
RP4-713A8.1,NA,0.2149302707137,0.270762920426579,0.291177567305541,0.262364415276638,0.566735028712059
RP4-740C4.5,NA,0.395688785646606,0.193905309166488,0.306537157761292,0.320355597214722,0.510613748204297
