Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
SLC22A1,0.0736882716049383,0.400655864197531,0.50462962962963,0.371498100664767,0.449453551912568,0.319907407407407
SLC22A2,0.0893081761006289,0.447798742138365,0.358616352201258,0.306531204644412,0.384052872828057,0.128050314465409
RP1-276N6.2,0,0.248959417273673,0.150520291363163,0.144000640358601,0.173309934919487,0.414880332986472
SLC22A3,0.580378657487091,0.478141135972461,0.478466245936125,0.433245068184827,0.454351692484223,0.344509466437177
LPAL2,0.500960027928085,0.285390120439867,0.299681445278408,0.370919881305638,0.399986700911819,0.307418397626113
LPA,0.505576208178439,0.374845105328377,0.27905824039653,0.264512439233629,0.287684374625255,0.192069392812887
PLG,0.187272727272727,0.254545454545455,0.282626262626263,0.225594405594406,0.225818181818182,0.289818181818182
RP3-428L16.1,0.678889737713267,0,0.238929915400504,0.366338454573749,0.325081938933931,0.217341482047364
RP3-428L16.2,0.728270068163284,0.181655921589143,0.402563431859796,0.400016333622525,0.361260190133236,0.462171685310274
MAP3K4,NA,0.550044008550233,0.526882937256381,0.443853006785234,0.454877322301307,0.396781088897271
AGPAT4,0.320388349514563,0.214133756237187,0.36997855396107,0.27886958513965,0.36741337930755,0.288597068038526
AGPAT4-IT1,0.10636251061783,0.170197414878266,0.289380123422677,0.203374639544852,0.280130454461271,0.230603911454975
PARK2,NA,0.467929194623188,0.441606173715908,0.428554316827463,0.372535437037716,0.30476997412352
KRT8P44,NA,0,0,0,0.0153390612106208,0
PACRG,NA,0.278262496783701,0.397621108278169,0.402327970735727,0.440238045113954,0.570863839442352
PACRG-AS2,0,0,0,0.0222832722832723,0.0957010582010582,0
PACRG-AS3,0.227552360544688,0.162133360982466,0.400469523231672,0.273661555843994,0.302262431816748,0.187891984055667
PACRG-AS1,0.300601071475238,0.25530837580034,0.386110022213511,0.250544029993266,0.297897883183065,0.137576767280805
RP3-495O10.1,0,0.3516,0,0,0.0441180327868852,0
CAHM,0.15154711673699,0.160211975085393,0.434880450070323,0.273731163351417,0.344619676742524,0.429847297568817
QKI,0.196035408943028,0.112884920935159,0.363269526619757,0.282145048884854,0.305869517996129,0.329151849890293
RP5-826L7.1,0.0766384778012685,0.211099365750529,0.280807346723044,0.263374125874126,0.360138460472048,0.222634778012685
RP1-230L10.1,0,0,0.0944511459589867,0.0139649253038879,0.0996838733829708,0
RP1-155D22.2,0.206842923794712,0,0.139424572317263,0.199440124416796,0.169725246241576,0.202177293934681
RP1-155D22.1,0,0,0.0830759728227301,0.173944030028033,0.144784916405817,0
RP11-347L18.1,0,0,0.117687074829932,0.0335276967930029,0.114593456430191,0.253838678328474
RP11-300M24.1,0.253327872209707,0.493446651648577,0.41495437686304,0.405938971943477,0.406240452825628,0.410157689944706
C6orf118,0.452238805970149,0.154341926729986,0.360379918588874,0.34126338006935,0.373082315694256,0.401953867028494
PDE10A,0.463373833421377,0.367362211656982,0.385680797675647,0.351941525959839,0.336385040528489,0.284742032047896
RP11-252P19.1,0,0,0,0,0,0
LINC00473,0.274484052532833,0.15750469043152,0.188513654367313,0.187459662288931,0.161446190754467,0.128630393996248
LINC00602,0.829486224869695,0,0.15174981384959,0.25319558203028,0.202468543735881,0.148175725986597
GAPDHP72,0.775674728356116,0.488608482299334,0.482825096389765,0.378980290652215,0.357495788247798,0.425236593059937
RP11-459F1.2,0,0.376623376623377,0,0.0384615384615385,0,0
T,0,0,0.0583617747440273,0.0728100113765643,0.0946530147895336,0.168600682593857
RP4-655C5.9,0.306598639455782,0.0975510204081633,0.381829931972789,0.24861768707483,0.341332199546485,0.417448979591837
PRR18,0.12589391852369,0.119478461044965,0.258930799017974,0.215869983932327,0.26865610774073,0.108510859105232
SFT2D1,0.325612629075937,0.153878332856294,0.413265618157844,0.389046678947381,0.405599782204287,0.244864484026509
HNRNPA1P49,0.498623063683305,0,0.414840313635494,0.318429763008076,0.279690189328744,0.270808950086059
MPC1,0.385330770661541,0.20487940975882,0.533848623252802,0.44509889019778,0.429318825304317,0.454659309318619
RP1-168L15.5,0.348302872062663,0.260966057441253,0.446136737259453,0.399813041936628,0.350595671218023,0.499234116623151
RP1-168L15.6,0.400092442801017,0.306470996071181,0.410931361220245,0.413983751399975,0.36846656776281,0.313831754102149
RPS6KA2,0.48542524005487,0.261145404663923,0.326646090534979,0.28512548900066,0.30052767821585,0.30661865569273
RPS6KA2-IT1,0,0.20610119047619,0.291021825396825,0.233154761904762,0.271699355971897,0.461855158730159
FAM103A2P,0.319430051813472,0.24520725388601,0.138439119170984,0.13811168681635,0.191178968826977,0.128290155440414
RP3-497J21.1,NA,0,0.101131071190951,0.171196069399662,0.0655688622754491,0.0890219560878243
RPS6KA2-AS1,0.556132640831003,0.142229324810228,0.0910462999955609,0.24841301549252,0.266693760590739,0.479904115061926
RNASET2,0.204009349412794,0.112702008976583,0.368782712190086,0.299063183543445,0.300401014866864,0.200514074307756
RP1-167A14.2,0.728236427883071,0.372791519434629,0.174622550594282,0.136472855766142,0.170506548424639,0.383745583038869
FGFR1OP,NA,0.39307356127658,0.468735539314701,0.444578320060343,0.428896023947467,0.38458995923464
CCR6,NA,0.337277546383945,0.332639151836426,0.391699798056292,0.378420990558718,0.347368421052632
TCP10L2,0.365963855421687,0.420933734939759,0.0682730923694779,0.238565372601517,0.281294670206249,0.235692771084337
GPR31,0,0.14,0.211741935483871,0.138759305210918,0.118667371760973,0.152516129032258
RP11-568A7.4,0,0,0.194170714781402,0.157500578302105,0.117089386850529,0.143095072866065
RP11-568A7.3,0.470801526717557,0.364169847328244,0.126331106870229,0.178839694656489,0.228386595937379,0.220219465648855
RP11-568A7.2,0.926256254078747,0.118555579725908,0.0607135088100935,0.114994481102813,0.121567289011574,0.340221883837285
UNC93A,0,0.358247422680412,0.0484536082474227,0.0250095456281023,0.090380919098375,0.0869845360824742
TTLL2,0.326883611844034,0.248021108179419,0.318638229258282,0.319424085475097,0.320192735079108,0.228261506889475
RP3-366N23.4,0.823723228995058,0.364360241625481,0.208615534809933,0.159781185316605,0.183874830078951,0.28830313014827
TCP10,0,0,0.125,0.0528846153846154,0.0799180327868853,0
RP11-351J23.2,0.103691639522258,0.395765472312704,0.360369163952226,0.355722041259501,0.372126833397744,0.514929424538545
RP11-351J23.1,0.159197012138189,0.134920634920635,0.386139641041602,0.403235653235653,0.305199675498615,0.246654217242453
RP3-431P23.2,0,0,0.0554197229013855,0.0562347188264059,0.0514290531995616,0
LINC01558,0.170299224233469,0.502031769486516,0.313372737347617,0.364623951620627,0.378807179343465,0.306095308459549
RP3-431P23.5,0.722260040844112,0.786249149081008,0.200060509795023,0.348057383455614,0.265474988850027,0.207624234172907
AFDN-AS1,0.345524542829644,0.390001480713704,0.464074183756571,0.392844313922273,0.406425357339698,0.37510920263567
AFDN,0.82188679245283,0.327094339622642,0.50811320754717,0.416525506638714,0.422535106712032,0.428664150943396
RP3-470B24.5,0.172089552238806,0.135398009950249,0.156954118297402,0.217018610650451,0.208874792703151,0.179937810945274
KIF25-AS1,0.365785876993166,0.0951708428246014,0.179498861047836,0.217248992465393,0.226967399828224,0.187312072892939
KIF25,0.317348483900437,0.0826690360284824,0.264015317423569,0.255361974245704,0.185963616947611,0.15951895280882
FRMD1,0,0.114953271028037,0.130607476635514,0.101653486700216,0.197671211889076,0.13196261682243
RP11-503C24.2,0,0.485657764589515,0.0990603363006924,0.175184086163315,0.0776458951533135,0
RP11-503C24.4,0,0,0,0,0.0597315436241611,0
CTAGE13P,0,0,0.212474012474012,0.14664960818807,0.113807441393648,0
DACT2,NA,0.361765108479912,0.489883478201355,0.364093438557883,0.350858610724134,0.221374307028951
RP11-503C24.6,0.977077363896848,0.5,0.0970630372492837,0.143037249283668,0.084926487857579,0
SMOC2,0.773521901394618,0.817472009428403,0.44601993714398,0.468723085988849,0.509069927322726,0.435550972304066
RP1-125N5.2,0,0,0,0.0871055549954632,0.00988515449718995,0.22870249017038
RP3-495K2.2,0,0,0,0,0.0172413793103448,0
LINC01615,0,0.102117581499025,0.101219776477508,0.109991641125662,0.199071535785869,0.273474505433268
XXyac-YX65C7_A.2,0.366750591287098,0.213492790112154,0.48831837101464,0.349548869843369,0.346818493934539,0.331235217822538
THBS2,0.453940949007987,0.170828665389758,0.373114251181542,0.317071746871899,0.341176450015796,0.136695457338007
XXyac-YX65C7_A.3,0.781041388518024,0,0.0403204272363151,0,0.00628159950972882,0
VTA1P1,0,0.307875894988067,0.242773800053036,0.132315035799523,0.0517039007785907,0.107159904534606
RP1-137D17.1,0.782915863840719,0.241329479768786,0.504431599229287,0.357504569932316,0.340264397345322,0.337508028259473
RP1-137D17.2,0.676195403785625,0.363083689044108,0.515651274091321,0.402168757814858,0.439403411949008,0.552063122493856
WDR27,0.656865662758169,0.442592702815309,0.508502470091066,0.492464072905713,0.466592762335575,0.458067972144515
C6orf120,0.922096317280453,0.24114730878187,0.540738723033341,0.42991089804121,0.368743190237524,0.409642623665286
PHF10,0.301070923418872,0.435946655890079,0.439684784805011,0.462787095036034,0.453640031547592,0.441907456051728
RP1-266L20.2,0.703729933899906,0.142351274787535,0.455815234497954,0.533280290047681,0.444158239158468,0.479280768020145
RP1-266L20.4,0,0,0.0940149625935162,0.0759600997506234,0.0793744804655029,0.0846321695760599
TCTE3,0.473818232325571,0.250544006666975,0.502666790129173,0.434155902279427,0.429299295516967,0.27745497476735
ERMARD,0.524508205629823,0.243261601999783,0.487604004395657,0.39564261409713,0.433996839260166,0.487827410064124
RP1-266L20.9,0.463812940739824,0.22559693183224,0.336852378792253,0.36881774664776,0.397840623866369,0.392131634294198
LINC00242,NA,0.421502748930971,0.291671757279576,0.38330905502561,0.323989595444066,0.285571166768479
LINC00574,NA,0.352184691664084,0.236580243087835,0.360265547901123,0.318392795758466,0.287862824088421
RP1-182D15.2,0.870356882738529,0.292061179898034,0.347378004369993,0.373218958215317,0.334949016751639,0.257217771303714
RP11-302L19.1,0,0,0,0,0.0484674329501916,0
RP11-302L19.3,0.127505846490361,0.137628128308648,0.317206198507901,0.296108846632995,0.294519749689952,0.280445380400005
RPL12P23,0.692307692307692,0,0.0358974358974359,0.122855776701931,0.0751320242845667,0
RP5-1086L22.1,0.162698412698413,0.358878968253968,0.426736111111111,0.178895757020757,0.263781415343915,0.264484126984127
RP5-894D12.5,NA,0,0.311014070839398,0.0578198285621866,0.161464671773212,0.0384279475982533
LINC01624,0.277901785714286,0.213169642857143,0.189236111111111,0.221808862433862,0.335672669491525,0.355803571428571
DLL1,0.324774549098196,0.32001503006012,0.495936317078602,0.347747995991984,0.406362327830264,0.294056863727455
FAM120B,NA,0.326592486091142,0.502387947740201,0.438091401397021,0.422656869130704,0.452834906544977
RP5-894D12.4,0.657577583609521,0.357035251581802,0.403585417294366,0.352127610262591,0.316342476036789,0.415787887918048
RP1-140C12.2,NA,0.140208197787899,0.241234728547676,0.166582327284995,0.204496730910759,0.112426805465192
PSMB1,0.895402783635597,0.280894137494728,0.569141009419373,0.47111464382658,0.504369555062743,0.366933783213834
TBP,NA,0.278011140535111,0.513359510546982,0.41111805736041,0.419447627407719,0.453620673911058
PDCD2,NA,0.456961570693164,0.538568977213776,0.493009830134217,0.466450145398794,0.52156111576679
XX-C2158C12.2,0,0,0,0.037037037037037,0,0
XX-C2158C6.3,0,0,0.274458874458874,0.146220446220446,0.110851860004402,0.0718614718614719
RPL23AP47,0,0,0.197677595628415,0.0360445565363598,0.0411885245901639,0.096448087431694
RP11-482G13.1,0,0.0483690112130479,0.266483180428135,0.193635066258919,0.171528394330999,0.345412844036697
AC093627.7,0,0,0.1,0.0365384615384615,0.0429487179487179,0
AC093627.8,0.418027433050294,0,0.0711952971913782,0.175878008340451,0.222171888497925,0.164467668190725
AC093627.9,0.330303402530402,0.263419727306228,0.424849527085125,0.330185291922179,0.339170044630062,0.448519837857757
