GeneA,GeneB
FOS,NPY
FOS,NQO1
FOS,NTF3
FOS,NTS
FOS,OXTR
FOS,PCK2
FOS,PDHA1
FOS,PGR
FOS,PLAU
FOS,PLAUR
FOS,PTGS2
FOS,PTGS2
FOS,SLC10A2
FOS,SMAD4
FOS,SMAD7
FOS,SOX7
FOS,SPI1
FOS,SPRR3
FOS,SRR
FOS,STAR
FOS,TP53
FOSB,CXCL8
FOSB,TGFB1
FOSB,TIMP1
FOSB,TIMP1
FOXA1,ABCA1
FOXA1,AGR2
FOXA1,APOB
FOXA1,BCL2
FOXA1,BRCA1
FOXA1,CCNG2
FOXA1,CFTR
FOXA1,ESR1
FOXA1,GCG
FOXA1,HSPA1A
FOXA1,KRT7
FOXA1,MYC
FOXA1,NF1
FOXA1,NKX2-1
FOXA1,RET
FOXA1,RPRM
FOXA1,SERPINC1
FOXA1,SFTPB
FOXA1,TFF1
FOXA1,UGT2B15
FOXA1,UGT2B17
FOXG1,CDKN1A
FOXH1,AR
FOXH1,CTCF
FOXO3,AR
FOXO3,AR
FOXO3,BBC3
FOXO3,BCL2L11
FOXO3,BCL6
FOXO3,BIRC5
FOXO3,CCND2
FOXO3,CDKN2B
FOXO3,FASLG
FOXO3,FOXM1
FOXO3,GALT
FOXO3,MYOCD
FOXO3,PIK3CA
FOXO3,SIRT1
FOXO3,SIRT6
FOXO3,TNFSF10
FOXO3,TXNIP
FOXO3,VEGFA
FOXO3,VEGFB
FOXP1,HIP1R
FOXP1,KLK3
FOXP1,RAG1
FOXP2,CNTNAP2
FOXP2,CNTNAP2
FOXP2,MET
FOXP2,NKX2-1
