GeneA,GeneB
HDAC4,RUNX2
HDAC4,SLC2A4
HDAC4,SMAD4
HDAC4,TGIF1
HDAC4,TGIF2
HDAC4,VCAM1
HDAC4,VEGFA
HDAC4,WT1
HDAC7,ACTN4
HDAC7,AKAP12
HDAC7,CDKN1A
HDAC7,CYP7A1
HDAC7,ESR1
HDAC7,HDC
HDAC7,HIF1A
HDAC7,HIF1A
HDAC7,MAML1
HDAC7,MEF2A
HDAC7,MEF2C
HDAC7,MEF2D
HDAC7,MMP10
HDAC7,NR4A1
HDGF,CDH1
HDGF,FAS
HDGF,SMYD1
HDGF,VEGFA
HDGF,VEGFB
HDGF,VIM
HEXIM1,CCND1
HEXIM1,VEGFA
HEY1,ACTA2
HEY1,BMP2
HEY1,GATA4
HEY1,GATA6
HEY1,KDR
HEY1,OCLN
HEY1,PROX1
HHEX,HNF4A
HHEX,SLC5A5
HHEX,TLE1
HIC1,ACKR3
HIC1,ACKR3
HIC1,E2F1
HIC1,EPHA2
HIC1,LRP8
HIC1,MYC
HIC1,SIRT1
HIC1,SIRT1
HIC1,STAT3
HIC1,VEGFA
HIC1,VLDLR
HIF3A,EPAS1
HIF3A,HIF1A
HIRA,PLB1
HIVEP2,HLA-A
HIVEP2,HLA-B
HIVEP2,HLA-C
HIVEP2,HLA-E
HIVEP2,HLA-F
HIVEP2,HLA-G
HLX,BTG1
HLX,PAK1
HMGB2,GFI1B
HMGB2,TNF
HMGN1,FOS
HMGN1,PCNA
HMGN1,TFF1
HNRNPD,KLF2
HOXA1,BCL2
HOXA1,CCND1
HOXA1,EPAS1
HOXA1,IER3
HOXA1,LYL1
HOXA1,MYC
HOXA1,PCNA
HOXA5,ARHGEF1
HOXA5,PGR
HOXA5,PTN
HOXA5,TH
HOXB4,PROM1
HOXD3,ITGA5
HOXD3,ITGAV
HOXD3,ITGB1
HOXD3,ITGB3
HOXD3,PLAU
HSF1,ABCB1
HSF1,ATG7
HSF1,BAG3
HSF1,BAG3
HSF1,CDKN1A
HSF1,FKBP4
HSF1,FUT4
